Speaker ID,Male Count,Female Count
m01,27,0
m02,23,1
m03,25,2
m04,16,2
m06,26,0
m07,12,5
m08,19,0
m09,22,1
m10,20,0
m11,9,0
m13,19,2
m14,32,0
m16,9,0
m17,7,0
m18,15,2
m19,30,1
m20,16,3
m21,9,0
m22,28,1
m23,23,8
m24,23,1
m25,26,2
m26,9,0
m27,22,0
m28,21,2
m29,18,1
m30,34,25
m31,18,1
m32,21,1
m33,16,0
m34,8,0
m35,11,0
m36,23,0
m37,2,0
m38,23,2
m39,31,0
m40,8,21
m41,12,0
m42,22,1
m44,19,1
m45,17,7
m47,5,0
m48,23,4
m49,12,5
m50,18,1
w01,0,19
w02,0,23
w03,8,20
w04,1,21
w05,0,39
w06,5,18
w07,11,21
w08,2,25
w09,13,24
w10,4,22
w11,41,35
w12,3,24
w13,13,25
w14,2,19
w15,4,21
w16,0,16
w17,2,22
w19,4,33
w20,4,19
w21,11,9
w22,0,21
w23,14,23
w24,2,23
w25,2,20
w26,0,29
w27,28,43
w28,4,32
w29,0,18
w30,2,22
w31,4,23
w32,10,11
w33,0,10
w34,2,18
w35,4,26
w36,11,36
w37,0,20
w38,7,35
w39,0,33
w40,2,17
w41,0,22
w42,6,22
w44,4,14
w45,13,15
w46,0,20
w47,17,23
w48,29,14
w49,0,22
w50,21,40
